PATH;Group
16;Soya
1610;Glycine max
161010;Cava Desconocida
161020;M20GC
161030;M10GC
161040;4GC
11;Cebada
1110;Hordeum vulgare
111010;Cava Desconocida
111020;M20GC
111010;M10GC
111040;4GC
10;Arroz
1010;Oryza sativa
101010;Cava Desconocida
101020;M20GC
101030;M10GC
101040;4GC
15;Passifloras
1510;Passiflora adenopoda
151010;Cava Desconocida
151020;M20GC
151030;M10GC
151040;4GC
1511;Passiflora ambigua
151110;Cava Desconocida
151120;M20GC
151130;M10GC
151140;4GC
1512;Passiflora caerulea
151210;Cava Desconocida
151220;M20GC
151230;M10GC
151240;4GC
1513;Passiflora capsularis
151310;Cava Desconocida
151320;M20GC
151330;M10GC
151340;4GC
1514;Passiflora cumbalenis
151410;Cava Desconocida
151420;M20GC
151430;M10GC
151440;4GC
1515;Passiflora edulis
151510;Cava Desconocida
151520;M20GC
151530;M10GC
151540;4GC
1516;Passilora edulis fo. Edulis
151610;Cava Desconocida
151620;M20GC
151630;M10GC
151640;4GC
1517;Passiflora ligularis
151710;Cava Desconocida
151720;M20GC
151730;M10GC
151740;4GC
1518;Passiflora maliformis
151810;Cava Desconocida
151820;M20GC
151830;M10GC
151840;4GC
1519;Passiflora mixta
151910;Cava Desconocida
151920;M20GC
151930;M10GC
151940;4GC
1520;Passiflora mollissima
152010;Cava Desconocida
152020;M20GC
152030;M10GC
152040;4GC
1521;Passiflora sanguinolenta
152110;Cava Desconocida
152120;M20GC
152130;M10GC
152140;4GC
1522;Passiflora sp
152210;Cava Desconocida
152220;M20GC
152230;M10GC
152240;4GC
1523;Passiflora tarminiana
152310;Cava Desconocida
152320;M20GC
152330;M10GC
152340;4GC
1524;Passiflora tripartita
152410;Cava Desconocida
152420;M20GC
1512430;M10GC
152440;4GC
14;Mora
1410;Rubus adenotrichos
141010;Cava Desconocida
141020;M20GC
141030;M10GC
141040;4GC
1411;Rubus glaucus
141110;Cava Desconocida
141120;M20GC
141130;M10GC
141140;4GC
1412;Rubus idaeus
141210;Cava Desconocida
141220;M20GC
141230;M10GC
141240;4GC
1413;Rubus niveus
